,IATA,ICAO,Airport name,Location served,Time,DST
4985,MRT,,Moroak Airport,"Moroak, Northern Territory, Australia",UTC+09:30,
4994,MSD,,Mount Pleasant Airport (FAA: 43U),"Mount Pleasant, Utah, United States",UTC−07:00,Mar-Nov
4999,MSI,,Masalembo Airport[1],"Masalembo, Indonesia",UTC+07:00,
5022,MTG,,Mato Grosso Airport,"Mato Grosso, Brazil",UTC−04:00,Oct-Feb
5036,MTU,,Montepuez Airport,"Montepuez, Mozambique",UTC+02:00,
5047,MUF,,Muting Airport,"Muting, Indonesia",UTC+09:00,
5071,MVG,,Mevang Airport,"Mevang, Gabon",UTC+01:00,
5072,MVH,,Macksville Airport[1],"Macksville, New South Wales, Australia",UTC+10:00,Oct-Apr
5073,MVI,,Manetai Airport[1],"Manetai, Papua New Guinea",UTC+11:00,
5076,MVM,,Kayenta Airport (FAA: 0V7),"Kayenta, Arizona, United States",UTC−07:00,Mar-Nov
5096,MWG,,Marawaka Airport,"Marawaka, Papua New Guinea",UTC+10:00,
5098,MWI,,Maramuni Airport[1],"Maramuni, Papua New Guinea",UTC+10:00,
5106,MWR,,Motswari Airstrip[1],"Motswari, South Africa",UTC+02:00,
5108,MWU,,Mussau Island Airport,"Mussau Island, Papua New Guinea",UTC+10:00,
5115,MXC,,Monticello Airport (FAA: U43),"Monticello, Utah, United States",UTC−07:00,Mar-Nov
5119,MXG,,Marlboro Airport[1] (FAA: 9B1),"Marlborough, Massachusetts, United States",UTC−05:00,Mar-Nov
5123,MXK,,Mindik Airport,"Mindik, Papua New Guinea",UTC+10:00,
5129,MXR,,Myrhorod Air Base,"Myrhorod, Ukraine",UTC+02:00,Mar-Oct
5145,MYH,,Marble Canyon Airport[1] (FAA: L41),"Marble Canyon, Arizona, United States",UTC−07:00,
5148,MYK,,May Creek Airport,"May Creek, Alaska, United States",UTC−09:00,Mar-Nov
5160,MYX,,Menyamya Airport,"Menyamya, Papua New Guinea",UTC+10:00,
5166,MZD,,Méndez Airport,"Santiago de Méndez, Ecuador",UTC−05:00,
5176,MZN,,Minj Airport,"Minj, Papua New Guinea",UTC+10:00,
5190,NAD,,Macanal Airport[1],"Macanal, Colombia",,
5192,NAF,,Banaina Airport[1],"Banaina, Indonesia",,
5212,NBA,,Nambaiyufa Airport[1],"Nambaiyufa, Papua New Guinea",,
5243,NDF,,N'dalatando Airport[1],"N'dalatando, Angola",,
5245,NDI,,Namudi Airport[1],"Namudi, Papua New Guinea",,
5247,NDK,,Namorik Airport (Namdrik Airport) (FAA: 3N0),"Namdrik Atoll, Marshall Islands",,
5250,NDN,,Nadunumu Airport[1],"Nadunumu, Papua New Guinea",,
5251,NDP,,Naval Air Station Ellyson Field[2] (now retired),"Pensacola, Florida, United States",,
5279,NGN,,Narganá Airport[1],"Narganá, Panama",,
5283,NGR,,Ningerum Airport[1],"Ningerum, Papua New Guinea",,
5292,NHS,,Nushki Airport[1],"Nushki, Pakistan",,
5302,NIK,,Niokolo-Koba Airport[1],"Niokolo-Koba, Senegal",,
5304,NIN,,Ninilchik Airport,"Ninilchik, Alaska, United States",,
5307,NIR,,Chase Field Industrial Complex[1] (FAA: 1XA2),"Beeville, Texas, United States",,
5308,NIS,,Simberi Airport,"Simberi Island, Papua New Guinea",,
5316,NKA,,Nkan Airport[1],"Ntoum (Nkan), Gabon",,
5317,NKB,,Noonkanbah Airport[1],"Noonkanbah Station, Western Australia, Australia",,
5319,NKD,,Sinak Airport[1],"Sinak, Indonesia",,
5321,NKI,,Naukati Bay Seaplane Base[1] (FAA: AK62),"Naukati Bay, Alaska, United States",,
5324,NKN,,Nankina Airport[1],"Nankina, Papua New Guinea",,
5325,NKO,,Ankokoambo Airport[1],"Ankokoambo, Madagascar",,
5326,NKP,,Nukutepipi Airport[1],"Nukutepipi, Tuamotus, French Polynesia",,
5335,NLE,,Jerry Tyler Memorial Airport (FAA: 3TR),"Niles, Michigan, United States",,
5338,NLH,,Ninglang Luguhu Airport[1],"Ninglang, Yunnan, China",,
5342,NLN,,Kneeland Airport[1] (FAA: O19),"Arcata / Eureka, California, United States",,
5345,NLS,,Nicholson Airport[1],"Nicholson, Western Australia, Australia",,
5354,NMG,,San Miguel Airport[1],"San Miguel, Panama",,
5355,NML,,Fort McMurray/Mildred Lake Airport[1] (TC: CAJ3),"Fort McMurray, Alberta, Canada",,
5356,NMN,,Nomane Airport[1],"Nomane, Papua New Guinea",,
5357,NMP,,New Moon Airport[1],"New Moon, Queensland, Australia",,
5363,NND,,Nangade Airport[1],"Nangade, Mozambique",,
5366,NNK,,Naknek Airport (FAA: 5NK),"Naknek, Alaska, United States",,
5379,NOI,,Novorossiysk Airport[1],"Novorossiysk, Krasnodar Krai, Russia",,
5384,NOO,,Naoro Airport[1],"Naoro, Papua New Guinea",,
5394,NPG,,Nipa Airport[1],"Nipa, Papua New Guinea",,
5395,NPH,,Nephi Municipal Airport (FAA: U14),"Nephi, Utah, United States",,
5398,NPP,,Napperby Airport[1],"Napperby, Northern Territory, Australia",,
5401,NPU,,San Pedro de Urabá Airport[1],"San Pedro de Urabá, Colombia",,
5418,NRI,,Grand Lake Regional Airport[1] (FAA: 3O9),"Afton, Oklahoma, United States",,
5426,NRY,,Newry Airport[1],"Newry Station, Northern Territory, Australia",,
5427,NSB,,North Seaplane Base[1],"Bimini, Bahamas",,
5439,NTA,,Natadola Seaplane Base[1],"Natadola Bay, Fiji",,
5441,NTC,,Santa Carolina Airport[1],"Santa Carolina, Mozambique",,
5445,NTI,,Stenkol Airport[1],"Bintuni, Indonesia",,
5446,NTJ,,Manti-Ephraim Airport (FAA: 41U),"Manti, Utah, United States",,
5457,NUA,,Gregory Lake Seaplane Base[1],"Nuwara Eliya, Sri Lanka",,
5461,NUF,,Castlereigh Reservoir Seaplane Base[1],"Hatton, Sri Lanka",,
5462,NUG,,Nuguria Airstrip[1],"Nuguria, Papua New Guinea",,
5463,NUH,,Nunchía Airport[1],"Nunchía, Colombia",,
5470,NUP,,Nunapitchuk Airport (FAA: 16A),"Nunapitchuk, Alaska, United States",,
5474,NUT,,Nutuve Airport[1],"Nutuve, Papua New Guinea",,
5483,NVN,,Nervino Airport (FAA: O02),"Beckwourth, California, United States",,
5484,NVP,,Novo Aripuanã Airport[1],"Novo Aripuanã, Amazonas, Brazil",,
5490,NWH,,Parlin Field (FAA: 2B3),"Newport, New Hampshire, United States",,
5492,NWT,,Nowata Airport[1],"Nowata, Papua New Guinea",,
5494,NYC[1],,metropolitan area2,"New York City, New York, United States",,
5501,NYS,,New York Skyports Seaplane Base,"New York City, United States",,
5511,NZL,,Zhalantun Chengjisihan Airport[1],"Zhalantun, Inner Mongolia, China",,
5526,OBA,,Oban Airport[1],"Oban, Queensland, Australia",,
5528,OBD,,Obano Airport,"Obano, Indonesia",,
5533,OBM,,Morobe Airport[1],"Morobe, Papua New Guinea",,
