,IATA,ICAO,Airport name,Location served,Time,DST
18,AAS,,Apalapsili Airport,"Apalapsili, Indonesia",UTC+09:00,
40,ABP,,Atkamba Airport,"Atkamba, Papua New Guinea",UTC+10:00,
47,ABW,,Abau Airport,"Abau, Papua New Guinea",UTC+10:00,
60,ACL,,Aguaclara Airport,"Aguaclara, Colombia",UTC−05:00,
61,ACM,,Arica Airport,"Arica, Colombia",UTC−05:00,
67,ACU,,Achutupo Airport,"Achutupo, Panama",UTC−05:00,
93,ADV,,Ed Daein Airport,"Ed Daein, Sudan",UTC+03:00,
100,AEE,,Adareil Airport[1],"Adareil, South Sudan",UTC+03:00,
108,AEQ,,Ar Horqin Airport,"Ar Horqin Banner, China",UTC+08:00,
119,AFK,,Kondavattavan Tank Seaplane Base[1],"Ampara, Sri Lanka",UTC+05:30,
135,AGG,,Angoram Airport,"Angoram, Papua New Guinea",UTC+10:00,
139,AGK,,Kagua Airport,"Kagua, Papua New Guinea",UTC+10:00,
150,AGW,,Agnew Airport,"Agnew, Queensland, Australia",UTC+10:00,
155,AHD,,Ardmore Downtown Executive Airport (FAA: 1F0),"Ardmore, Oklahoma, United States",UTC−06:00,Mar-Nov
157,AHF,,Arapahoe Municipal Airport (FAA: 37V),"Arapahoe, Nebraska, United States",UTC−06:00,Mar-Nov
162,AHM,,Ashland Municipal Airport[1] (FAA: S03),"Ashland, Oregon, United States",UTC−08:00,Mar-Nov
167,AHW,,Saih Rawl Airport[1],"Saih Rawl, Oman",UTC+04:00,
168,AHY,,Ambatolahy Airport,"Ambatolahy, Madagascar",UTC+03:00,
171,AIC,,Ailinglaplap Airok Airport,"Airok, Ailinglaplap Atoll, Marshall Islands",UTC+12:00,
179,AIL,,Ailigandí Airport,"Ailigandí, Panama",UTC−05:00,
180,AIM,,Ailuk Airport,"Ailuk Atoll, Marshall Islands",UTC+12:00,
189,AIW,,Ai-Ais Airport,"Ai-Ais, Namibia",UTC+02:00,Sep-Apr
214,AKM,,Zakouma Airport,"Zakouma National Park, Chad",UTC+01:00,
231,ALE,,Alpine–Casparis Municipal Airport (FAA: E38),"Alpine, Texas, United States",UTC−06:00,Mar-Nov
237,ALK,,Asella Airport,"Asella, Ethiopia",UTC+03:00,
246,ALT,,Alenquer Airport,"Alenquer, Pará, Brazil",UTC−03:00,
251,ALZ,,Alitak Seaplane Base,"Lazy Bay, Alaska, United States",UTC−09:00,Mar-Nov
256,AME,,Alto Molocue Airport,"Alto Molocue, Mozambique",UTC+02:00,
258,AMG,,Amboin Airport,"Amboin, Papua New Guinea",UTC+10:00,
262,AMK,,Animas Air Park (FAA: 00C),"Durango, Colorado, United States",UTC−07:00,Mar-Nov
263,AML,,Puerto Armuelles Airport,"Puerto Armuelles, Panama",UTC−05:00,
274,AMX,,Ammaroo Airport,"Ammaroo, Northern Territory, Australia",UTC+09:30,
275,AMY,,Ambatomainty Airport,"Ambatomainty, Madagascar",UTC+03:00,
287,ANL,,Andulo Airport,"Andulo, Angola",UTC+01:00,
300,ANZ,,Angus Downs Airport,"Angus Downs, Northern Territory, Australia",UTC+09:30,
301,AOA,,Aroa Airport,"Aroa, Papua New Guinea",UTC+10:00,
302,AOB,,Annanberg Airport,"Annanberg, Papua New Guinea",UTC+10:00,
304,AOD,,Abou-Deïa Airport,"Abou-Deïa, Chad",UTC+01:00,
312,AOM,,Adam Airport[1],"Adam, Oman",UTC+04:00,
313,AON,,Arona Airport,"Arona, Papua New Guinea",UTC+10:00,
315,AOP,,Alférez FAP Alfredo Vladimir Sara Bauer Airport,"Andoas, Peru",UTC−05:00,
317,AOS,,Amook Bay Seaplane Base (FAA: AK81),"Amook Bay, Alaska, United States",UTC−09:00,Mar-Nov
331,APP,,Asapa Airport,"Asapa, Papua New Guinea",UTC+10:00,
347,AQM,,Ariquemes Airport,"Ariquemes, Rondônia, Brazil",UTC−04:00,
349,AQS,,Saqani Airport,"Saqani, Fiji",UTC+12:00,Nov-Jan
350,AQY,,Girdwood Airport[1],"Girdwood, Alaska, United States",UTC−09:00,Mar-Nov
356,ARF,,Acaricuara Airport,"Acaricuara, Colombia",UTC−05:00,
365,ARO,,Arboletes Airport,"Arboletes, Colombia",UTC−05:00,
366,ARP,,Aragip Airport,"Aragip, Papua New Guinea",UTC+10:00,
393,ASQ,,Austin Airport (FAA: 9U3),"Austin, Nevada, United States",UTC−08:00,Mar-Nov
401,ASZ,,Asirim Airport,"Asirim, Papua New Guinea",UTC+10:00,
406,ATE,,Antlers Municipal Airport (FAA: 80F),"Antlers, Oklahoma, United States",UTC−06:00,Mar-Nov
408,ATG,,PAF Base Minhas,"Attock, Pakistan",UTC+05:00,
421,ATT,,Atmautluak Airport (FAA: 4A2),"Atmautluak, Alaska, United States",UTC−09:00,Mar-Nov
425,ATX,,Atbasar Airport,"Atbasar, Kazakhstan",UTC+06:00,
431,AUE,,Abu Rudeis Airport,"Abou Redis, Egypt",UTC+02:00,
437,AUK,,Alakanuk Airport,"Alakanuk, Alaska, United States",UTC−09:00,Mar-Nov
438,AUL,,Aur Airport,"Aur Atoll, Marshall Islands",UTC+12:00,
469,AWE,,Alowe Airport,"Alowe, Gabon",UTC+01:00,
472,AWN,,Alton Downs Airport,"Alton Downs, South Australia, Australia",UTC+09:30,Oct-Apr
473,AWP,,Austral Downs Airport,"Austral Downs, Northern Territory, Australia",UTC+09:30,
474,AWR,,Awar Airport,"Awar, Papua New Guinea",UTC+10:00,
477,AXB,,Maxson Airfield (FAA: 89N),"Alexandria Bay, New York, United States",UTC−05:00,Mar-Nov
480,AXE,,Xanxere Airport,"Xanxerê, Santa Catarina, Brazil",UTC−03:00,
481,AXF,,Alxa Left Banner Bayanhot Airport,"Alxa Left Banner, Inner Mongolia, China",UTC+08:00,
485,AXL,,Alexandria Airport,"Alexandria Station, Northern Territory, Australia",UTC+09:30,
495,AYA,,Ayapel Airport,"Ayapel, Colombia",UTC−05:00,
496,AYC,,Ayacucho Airport,"Ayacucho, Colombia",UTC−05:00,
497,AYD,,Alroy Downs Airport,"Alroy Downs, Northern Territory, Australia",UTC+09:30,
499,AYI,,Yari Airport,"Yari, Colombia",UTC−05:00,
501,AYL,,Anthony Lagoon Airport,"Anthony Lagoon, Northern Territory, Australia",UTC+09:30,
502,AYM,,Yas Island Seaplane Base[1],"Yas Island, Abu Dhabi, United Arab Emirates",UTC+04:00,
513,AYY,,Arugam Bay Seaplane Base[1],"Pottuvil, Sri Lanka",UTC+05:30,
515,AZB,,Amazon Bay Airport,"Amazon Bay, Papua New Guinea",UTC+10:00,
517,AZG,,Pablo L. Sidar Airport,"Apatzingán, Michoacán, Mexico",UTC−06:00,Apr-Oct
525,AZT,,Zapatoca Airport,"Zapatoca, Colombia",UTC−05:00,
529,BAC,,Barranca de Upia Airport,"Barranca de Upía, Colombia",UTC−05:00,
536,BAJ,,Bali Airport,"Bali, Papua New Guinea",UTC+10:00,
537,BAK[1],,metropolitan area2,"Baku, Azerbaijan",UTC+04:00,
541,BAP,,Baibara Airport,"Baibara, Papua New Guinea",UTC+10:00,
543,BAR,,Qionghai Bo'ao Airport,"Qionghai, Hainan, China",UTC+08:00,
547,BAW,,Biawonque Airport,"Biawonque, Gabon",UTC+01:00,
577,BCC,,Bear Creek 3 Airport (FAA: Z48),"Bear Creek, Alaska, United States",UTC−09:00,Mar-Nov
581,BCG,,Bemichi Airport,"Kumaka, Guyana",UTC−04:00,
590,BCQ,,Brak Airport,"Brak, Libya",UTC+02:00,
592,BCS,,Southern Seaplane Airport (FAA: 65LA),"Belle Chasse, Louisiana, United States",UTC−06:00,Mar-Nov
594,BCU,,Bauchi State Airport,"Bauchi, Nigeria",UTC+01:00,
595,BCV,,Hector Silva Airstrip,"Belmopan, Belize",UTC−06:00,
596,BCW,,Benguerra Island Airport,"Benguerra Island, Mozambique",UTC+02:00,
599,BCZ,,Bickerton Island Airport,"Bickerton Island, Northern Territory, Australia",UTC+09:30,
605,BDF,,Rinkenberger RLA Airport (FAA: 3IS8),"Bradford, Illinois, United States",UTC−06:00,Mar-Nov
623,BDX,,Broadus Airport[1],"Broadus, Montana, United States",UTC−07:00,Mar-Nov
624,BDY,,Bandon State Airport (FAA: S05),"Bandon, Oregon, United States",UTC−08:00,Mar-Nov
626,BEA,,Bereina Airport,"Bereina, Papua New Guinea",UTC+10:00,
653,BFC,,Bloomfield Airport,"Bloomfield, Queensland, Australia",UTC+10:00,
657,BFG,,Bullfrog Basin Airport (FAA: U07),"Glen Canyon, Utah, United States",UTC−07:00,Mar-Nov
667,BFQ,,Bahía Piña Airport,"Puerto Piña, Panama",UTC−05:00,
685,BGK,,Big Creek Airport,"Big Creek, Belize",UTC−06:00,
690,BGP,,Bongo Airport,"Bongo, Gabon",UTC+01:00,
693,BGT,,Bagdad Airport (FAA: E51),"Bagdad, Arizona, United States",UTC−07:00,
705,BHG,,Brus Laguna Airport,"Brus Laguna, Honduras",UTC−06:00,
710,BHL,,Bahía de los Ángeles Airport,"Bahía de los Ángeles, Baja California, Mexico",UTC−08:00,Apr-Oct
718,BHT,,Brighton Downs Airport,"Brighton Downs, Queensland, Australia",UTC+10:00,
721,BHW,,Bhagatanwala Airport,"Sargodha, Pakistan",UTC+05:00,
724,BHZ[1],,metropolitan area3,"Belo Horizonte, Minas Gerais, Brazil",UTC−03:00,
732,BII,,Bikini Atoll Airport,"Bikini Atoll, Marshall Islands",UTC+12:00,
733,BIJ,,Biliau Airport,"Biliau, Papua New Guinea",UTC+10:00,
739,BIP,,Bulimba Airport,"Bulimba, Queensland, Australia",UTC+10:00,
746,BIW,,Billiluna Airport,"Billiluna, Western Australia, Australia",UTC+08:00,
749,BIZ,,Bimin Airport,"Bimin, Papua New Guinea",UTC+10:00,
754,BJE,,Baleela Airport[1],"Baleela, Sudan",UTC+03:00,
756,BJG,,Kotamobagu Mopait Airport[1],"Kotamobagu, Indonesia",UTC+08:00,
763,BJN,,Bajone Airport,"Bajone, Mozambique",UTC+02:00,
766,BJQ,,Bahja Airport[1],"Bahja, Oman",UTC+04:00,
768,BJS[1],,metropolitan area4,"Beijing, China",UTC+08:00,
769,BJT,,Bentota River Airport[1],"Bentota, Sri Lanka",UTC+05:30,
780,BKF,,Lake Brooks Seaplane Base,"Brooks Camp, Alaska, United States",UTC−09:00,Mar-Nov
788,BKN,,Balkanabat Airport[1],"Balkanabat, Turkmenistan",UTC+05:00,
803,BLD,,Boulder City Municipal Airport (FAA: 61B),"Boulder City, Nevada, United States",UTC−08:00,Mar-Nov
841,BMQ,,Bamburi Airport,"Bamburi, Kenya",UTC+03:00,
856,BNF,,Warm Springs Bay Seaplane Base,"Baranof Warm Springs, Alaska, United States",UTC−09:00,Mar-Nov
865,BNQ,,Baganga Airport,"Baganga, Philippines",UTC+08:00,
870,BNV,,Boana Airport,"Boana, Papua New Guinea",UTC+10:00,
874,BNZ,,Banz Airport,"Banz, Papua New Guinea",UTC+10:00,
890,BOQ,,Boku Airport,"Boku, Papua New Guinea",UTC+11:00,
894,BOV,,Boang Island Airport,"Boang Island, Papua New Guinea",UTC+10:00,
899,BPB,,Boridi Airport,"Boridi, Papua New Guinea",UTC+10:00,
920,BQI,,Bagani Airport[1],"Bagani, Namibia",UTC+01:00,Sep-Apr
921,BQJ,,Batagay Airport,"Batagay, Yakutia, Russia",UTC+10:00,
930,BQV,,Bartlett Cove Seaplane Base,"Bartlett Cove, Alaska, United States",UTC−09:00,Mar-Nov
937,BRH,,Brahman Airport,"Brahman, Papua New Guinea",UTC+10:00,
939,BRJ,,Bright Airport,"Bright, Victoria, Australia",UTC+10:00,Oct-Apr
970,BSQ,,Bisbee Municipal Airport (FAA: P04),"Bisbee, Arizona, United States",UTC−07:00,
975,BSV,,Besakoa Airport[1],"Besakoa, Madagascar",UTC+03:00,
976,BSW,,Boswell Bay Airport (FAA: AK97),"Boswell Bay, Alaska, United States",UTC−09:00,Mar-Nov
982,BTD,,Brunette Downs Airport,"Brunette Downs, Northern Territory, Australia",UTC+09:30,
993,BTO,,Botopasi Airstrip,"Botopasi, Suriname",UTC−03:00,
1008,BUE[1],,metropolitan area5,"Buenos Aires, Argentina",UTC−03:00,
1011,BUH[1],,metropolitan area6,"Bucharest, Romania",UTC+02:00,Mar-Oct
1014,BUK,,Albuq Airport,"Albuq, Yemen",UTC+03:00,
1043,BVP,,Bolovip Airport,"Bolovip, Papua New Guinea",UTC+10:00,
1048,BVW,,Batavia Downs Airport,"Batavia Downs, Queensland, Australia",UTC+10:00,
1061,BWJ,,Bawan Airport,"Bawan, Papua New Guinea",UTC+10:00,
1084,BXL,,Blue Lagoon Seaplane Base,"Nanuya Lailai, Fiji",UTC+12:00,Nov-Jan
1085,BXM,,Batom Airport,"Batom, Indonesia",UTC+09:00,
1090,BXS,,Borrego Valley Airport (FAA: L08),"Borrego Springs, California, United States",UTC−08:00,Mar-Nov
1095,BXX,,Borama Airport,"Borama, Somalia",UTC+03:00,
1098,BYA,,Boundary Airport,"Boundary, Alaska, United States",UTC−09:00,Mar-Nov
1099,BYB,,Dibba Airport,"Dibba Al-Baya, Oman",UTC+04:00,
1108,BYL,,Bella Yella Airport,"Bella Yella, Liberia",UTC±00:00,
1118,BYV,,Beira Lake Seaplane Base[1],"Colombo, Sri Lanka",UTC+05:30,
1119,BYW,,Blakely Island Airport (FAA: 38WA),"Blakely Island, Washington, United States",UTC−08:00,Mar-Nov
1120,BYX,,Baniyala Airport,"Baniyala, Northern Territory, Australia",UTC+09:30,
1122,BZB,,Bazaruto Island Airport,"Bazaruto Island, Mozambique",UTC+02:00,
1126,BZF,,Benton Field[1],"Redding, California, United States",UTC−08:00,Mar-Nov
1128,BZH,,Bumi Hills Airstrip[1],"Bumi Hills, Zimbabwe",UTC+02:00,
1132,BZM,,Bemolanga Airport[1],"Bemolanga, Madagascar",UTC+03:00,
1135,BZP,,Bizant Airport,"Bizant, Queensland, Australia",UTC+10:00,
1137,BZT,,Eagle Air Park[1],"Brazoria, Texas, United States",UTC−06:00,Mar-Nov
1140,BZX,,Bazhong Enyang Airport,"Bazhong, Sichuan, China",UTC+08:00,
1170,CBC,,Cherrabun Airport,"Cherrabun, Western Australia, Australia",UTC+08:00,
1176,CBI,,Cape Barren Island Airport,"Cape Barren Island, Tasmania, Australia",UTC+10:00,Oct–Apr
1192,CBY,,Canobie Airport,"Canobie Station, Queensland, Australia",UTC+10:00,
1197,CCG,,Crane County Airport (FAA: E13),"Crane, Texas, United States",UTC−06:00,Mar–Nov
1209,CCT,,Colonia Catriel Airport,"Catriel, Río Negro, Argentina",UTC−03:00,
1219,CDD,,Cauquira Airport,"Cauquira, Honduras",UTC−06:00,
1226,CDL,,Candle 2 Airport (FAA: AK75),"Candle, Alaska, United States",UTC−09:00,Mar–Nov
1260,CEX,,Chena Hot Springs Airport (FAA: AK13),"Chena Hot Springs, Alaska, United States",UTC−09:00,Mar–Nov
1269,CFH,,Clifton Hills Airport,"Clifton Hills, South Australia, Australia",UTC+09:30,Oct–Apr
1272,CFM,,Conklin (Leismer) Airport,"Wood Buffalo, Alberta, Canada",UTC−07:00,
1274,CFO,,Confresa Airport,"Confresa, Mato Grosso, Brazil",UTC−04:00,
1275,CFP,,Carpentaria Downs Airport,"Carpentaria Downs, Queensland, Australia",UTC+10:00,
1276,CFQ,,Creston Aerodrome[1] (TC: CAJ3),"Creston, British Columbia, Canada",UTC−07:00,
1282,CGA,,Craig Seaplane Base,"Craig, Alaska, United States",UTC−09:00,Mar–Nov
1288,CGG,,Casiguran Airport,"Casiguran, Philippines",UTC+08:00,
1291,CGJ,,Kasompe Airport,"Chingola, Zambia",UTC+02:00,
1300,CGT,,Chinguetti Airport,"Chinguetti, Mauritania",UTC±00:00,
1310,CHI[1],,metropolitan area2,"Chicago, Illinois, United States",UTC−06:00,Mar–Nov
1317,CHP,,Circle Hot Springs Airport,"Circle Hot Springs, Alaska, United States",UTC−09:00,Mar–Nov
1326,CHZ,,Chiloquin State Airport (FAA: 2S7),"Chiloquin, Oregon, United States",UTC−08:00,Mar–Nov
1337,CIL,,Council Airport (FAA: K29),"Council, Alaska, United States",UTC−09:00,Mar–Nov
1342,CIQ,,Chiquimula Airport,"Chiquimula, Guatemala",UTC−06:00,
1354,CJD,,Candilejas Airport,"Candilejas, Colombia",UTC−05:00,
1356,CJH,,Chilko Lake (Tsylos Park Lodge) Aerodrome (TC: CAG3),"Chilko Lake, British Columbia, Canada",UTC−08:00,Mar–Nov
1368,CKE,,Lampson Field[1] (FAA: 1O2),"Lakeport, California, United States",UTC−08:00,Mar–Nov
1377,CKR,,Crane Island Airstrip[1],"Crane Island, Washington, United States",UTC−08:00,Mar–Nov
1380,CKU,,Cordova Municipal Airport,"Cordova, Alaska, United States",UTC−09:00,Mar–Nov
1383,CKX,,Chicken Airport,"Chicken, Alaska, United States",UTC−09:00,Mar–Nov
1389,CLG,,New Coalinga Municipal Airport (FAA: C80),"Coalinga, California, United States",UTC−08:00,Mar–Nov
1428,CMT,,Cameta Airport,"Cametá, Pará, Brazil",UTC−03:00,
1434,CMZ,,Caia Airport[1],"Caia, Mozambique",UTC+02:00,
1439,CNE,,Fremont County Airport (FAA: 1V6),"Cañon City, Colorado, United States",UTC−07:00,Mar–Nov
1454,CNT,,Charata Airport,"Charata, Chaco, Argentina",UTC−03:00,
1460,CNZ,,Cangamba Airport,"Cangamba, Angola",UTC+01:00,
1461,COA,,Columbia Airport (FAA: O22),"Columbia, California, United States",UTC−08:00,Mar–Nov
1462,COB,,Coolibah Airport,"Coolibah Station, Northern Territory, Australia",UTC+09:30,
1472,COL,,Coll Airport,"Coll, Scotland, United Kingdom",UTC±00:00,Mar–Oct
1476,COP,,Cooperstown-Westville Airport (FAA: K23),"Cooperstown, New York, United States",UTC−05:00,Mar–Nov
1491,CPG,,Carmen de Patagones Airport,"Carmen de Patagones, Buenos Aires, Argentina",UTC−03:00,
1493,CPI,,Cape Orford Airport[1],"Cape Orford, Papua New Guinea",UTC+10:00,
1496,CPN,,Cape Rodney Airport,"Cape Rodney, Papua New Guinea",UTC+10:00,
1502,CPU,,Cururupu Airport,"Cururupu, Maranhão, Brazil",UTC−03:00,
1505,CQA,,Canarana Airport,"Canarana, Mato Grosso, Brazil",UTC−04:00,
1509,CQP,,Cape Flattery Airport,"Cape Flattery, Queensland, Australia",UTC+10:00,
1511,CQT,,Caquetania Airport,"Caquetania, Colombia",UTC−05:00,
1512,CQW,,Wulong Xiannüshan Airport,"Wulong, Chongqing, China",UTC+08:00,
1520,CRH,,Cherrabah Airport,"Cherrabah, Queensland, Australia",UTC+10:00,
1522,CRJ,,Coorabie Airport,"Coorabie, South Australia, Australia",UTC+09:30,Oct–Apr
1536,CRY,,Carlton Hill Airport,"Carlton Hill Station, Western Australia, Australia",UTC+08:00,
1538,CSA,,Colonsay Airport,"Colonsay, Scotland, United Kingdom",UTC±00:00,Mar–Oct
1541,CSD,,Cresswell Downs Airport,"Cresswell Downs, Northern Territory, Australia",UTC+09:30,
1542,CSE,,Buckhorn Ranch Airport (FAA: 0CO2),"Crested Butte, Colorado, United States",UTC−07:00,Mar–Nov
1552,CSR,,Casuarito Airport,"Casuarito, Colombia",UTC−05:00,
1555,CSU,,Santa Cruz do Sul Airport[1],"Santa Cruz do Sul, Rio Grande do Sul, Brazil",UTC−03:00,
1564,CTE,,Cartí Airport,"Cartí, Panama",UTC−05:00,
1569,CTK,,Canton Municipal Airport (FAA: 7G9),"Canton, South Dakota, United States",UTC−06:00,Mar–Nov
1573,CTO,,Calverton Executive Airpark (FAA: 3C8),"Calverton, New York, United States",UTC−05:00,Mar–Nov
1576,CTR,,Cattle Creek Airport,"Cattle Creek, Northern Territory, Australia",UTC+09:30,
1580,CTW,,Cottonwood Airport (FAA: P52),"Cottonwood, Arizona, United States",UTC−07:00,
1581,CTX,,"Cortland County Airport (Chase Field, FAA: N03)","Cortland, New York, United States",UTC−05:00,Mar–Nov
1592,CUI,,Curillo Airport,"Curillo, Colombia",UTC−05:00,
1593,CUJ,,Culion Airport,"Culion, Philippines",UTC+08:00,
1594,CUK,,Caye Caulker Airport,"Caye Caulker, Belize",UTC−06:00,
1602,CUS,,Columbus Municipal Airport (FAA: 0NM0),"Columbus, New Mexico, United States",UTC−07:00,Mar–Nov
1606,CUX,,Cuddihy Field (FAA: 07TE),"Corpus Christi, Texas, United States",UTC−06:00,Mar–Nov
1614,CVH,,Caviahue Airport,"Caviahue, Neuquén, Argentina",UTC−03:00,
1615,CVI,,Caleta Olivia Airport,"Caleta Olivia, Santa Cruz, Argentina",UTC−03:00,
1617,CVL,,Cape Vogel Airport,"Cape Vogel, Papua New Guinea",UTC+10:00,
1633,CWS,,Center Island Airport (FAA: 78WA),"Center Island, Washington, United States",UTC−08:00,Mar–Nov
1636,CWX,,Cochise County Airport[1] (FAA: P33),"Willcox, Arizona, United States",UTC−07:00,
1639,CXC,,Chitina Airport,"Chitina, Alaska, United States",UTC−09:00,Mar–Nov
1654,CYC,,Caye Chapel Airport,"Caye Chapel, Belize",UTC−06:00,
1660,CYM,,Chatham Seaplane Base,"Chatham, Alaska, United States",UTC−09:00,Mar–Nov
1671,CZB,,Carlos Ruhl Airport,"Cruz Alta, Rio Grande do Sul, Brazil",UTC−03:00,
1672,CZC,,Copper Center 2 Airport (FAA: Z93),"Copper Center, Alaska, United States",UTC−09:00,Mar–Nov
1675,CZH,,Corozal Airport,"Corozal, Belize",UTC−06:00,
1676,CZJ,,Corazón de Jesús Airport,"Corazón de Jesús, Panama",UTC−05:00,
1680,CZN,,Chisana Airport,"Chisana, Alaska, United States",UTC−09:00,Mar–Nov
1681,CZO,,Chistochina Airport,"Chistochina, Alaska, United States",UTC−09:00,Mar–Nov
1682,CZP,,Cape Pole Seaplane Base (FAA: Z71),"Cape Pole, Alaska, United States",UTC−09:00,Mar–Nov
1693,DAF,,Daup Airport,"Daup, Papua New Guinea",UTC+10:00,
1695,DAH,,Dathina Airport,"Dathina, Yemen",UTC+03:00,
1700,DAO,,Dabo Airport[1],"Dabo, Papua New Guinea",UTC+10:00,
1703,DAS,,Great Bear Lake Airport[1] (TC: CFF4),"Great Bear Lake, Northwest Territories, Canada",UTC−08:00,Mar-Nov
1714,DBK,,Dutch Bay Seaplane Base[1],"Kalpitiya, Sri Lanka",UTC+05:30,
1721,DBS,,Dubois Municipal Airport (FAA: U41),"Dubois, Idaho, United States",UTC−07:00,Mar-Nov
1723,DBU,,Dambulu Oya Tank Seaplane Base[1],"Dambulla, Sri Lanka",UTC+05:30,
1728,DCG,,Dubai Creek Seaplane Base[1],"Dubai, United Arab Emirates",UTC+04:00,
1730,DCK,,Dahl Creek Airport,"Dahl Creek, Alaska, United States",UTC−09:00,Mar-Nov
1739,DDM,,Dodoima Airport,"Dodoima, Papua New Guinea",UTC+10:00,
1754,DEQ,,Deqing Moganshan Airport,"Deqing, Zhejiang, China",UTC+08:00,
1758,DEX,,Nop Goliat Dekai Airport[1],"Yahukimo, Indonesia",UTC+09:00,
1761,DFP,,Drumduff Airport,"Drumduff, Queensland, Australia",UTC+10:00,
1764,DGC,,Degeh Bur Airport,"Degeh Bur, Ethiopia",UTC+03:00,
1767,DGF,,Douglas Lake Airport[1],"Douglas Lake, British Columbia, Canada",UTC−08:00,Mar-Nov
1769,DGK,,Dugong Beach Lodge Airstrip[1],"Dugong Beach Lodge, Mozambique",UTC+02:00,
1771,DGM,,Dandugama Seaplane Base[1],"Colombo, Sri Lanka",UTC+05:30,
1780,DHB,,Deer Harbor Sea Plane Base[1],"Deer Harbor, Washington, United States",UTC−08:00,Mar-Nov
1803,DIU,,Diu Airport,"Diu, Daman and Diu, India",UTC+05:30,
1805,DIW,,Mawella Lagoon Seaplane Base[1],"Dickwella, Sri Lanka",UTC+05:30,
1811,DJH,,Jebel Ali Seaplane Base,"Dubai, United Arab Emirates",UTC+04:00,
1814,DJN,,Delta Junction Airport (FAA: D66),"Delta Junction, Alaska, United States",UTC−09:00,Mar-Nov
1817,DKA,,Katsina Airport[1],"Katsina, Nigeria",UTC+01:00,
1824,DLB,,Dalbertis Airport,"Dalbertis, Papua New Guinea",UTC+10:00,
1848,DMR,,Dhamar Airport,"Dhamar, Yemen",UTC+03:00,
1854,DNF,,Martuba Air Base,"Derna, Libya",UTC+02:00,
1855,DNG,,Doongan Airport[1],"Doongan, Western Australia, Australia",UTC+08:00,
1860,DNM,,Denham Airport,"Denham, Western Australia, Australia",UTC+08:00,
1871,DOA,,Doany Airport,"Doany, Madagascar",UTC+03:00,
1873,DOC,,Dornoch Airport,"Dornoch, Scotland, United Kingdom",UTC±00:00,Mar-Oct
1875,DOE,,Djoemoe Airstrip,"Djoemoe, Suriname",UTC−03:00,
1882,DON,,Dos Lagunas Airport,"Dos Lagunas, Guatemala",UTC−06:00,
1886,DOS,,Dios Airport,"Dios, Papua New Guinea",UTC+11:00,
1898,DPT,,Deputatsky Airport,"Deputatsky, Yakutia, Russia",UTC+10:00,
1899,DPU,,Dumpu Airport,"Dumpu, Papua New Guinea",UTC+10:00,
1901,DQM,,Duqm International Airport[1],"Duqm, Oman",UTC+04:00,
1904,DRC,,Dirico Airport,"Dirico, Angola",UTC+01:00,
1907,DRF,,Drift River Airport[1],"Drift River, Alaska, United States",UTC−09:00,Mar-Nov
1909,DRH,,Dabra Airport,"Dabra, Indonesia",UTC+09:00,
1918,DRU,,Drummond Airport (FAA: M26),"Drummond, Montana, United States",UTC−07:00,Mar-Nov
1926,DSG,,Dilasag Airport,"Dilasag, Philippines",UTC+08:00,
1939,DTH,,Furnace Creek Airport (FAA: L06),"Death Valley, California, United States",UTC−08:00,Mar-Nov
1944,DTR,,Decatur Shores Airport[1],"Decatur Island, Washington, United States",UTC−08:00,Mar-Nov
1945,DTT[1],,metropolitan area1,"Detroit, Michigan, United States",UTC−05:00,Mar-Nov
1946,DTU,,Wudalianchi Airport[1],"Wudalianchi, Heilongjiang, China",UTC+08:00,
1953,DUF,,Pine Island Airport (FAA: 7NC2),"Corolla, North Carolina, United States",UTC−05:00,Mar-Nov
1958,DUQ,,Duncan Airport,"Duncan, British Columbia, Canada",UTC−08:00,Mar-Nov
1962,DVD,,Andavadoaka Airport,"Andavadoaka, Madagascar",UTC+03:00,
1963,DVK,,Diavik Airport[1],"Diavik Diamond Mine, Northwest Territories, Canada",UTC−07:00,Mar-Nov
1968,DVR,,Daly River Airport,"Daly River, Northern Territory, Australia",UTC+09:30,
1975,DWO,,Diyawanna Oya Seaplane Base[1],"Sri Jayawardenepura Kotte, Sri Lanka",UTC+05:30,
1984,DYM,,Diamantina Lakes Airport,"Diamantina Lakes, Queensland, Australia",UTC+10:00,
1988,DYW,,Daly Waters Airport,"Daly Waters, Northern Territory, Australia",UTC+09:30,
1991,DZI,,Codazzi Airport,"Codazzi, Colombia",UTC−05:00,
1998,EAL,,Elenak Airport,"Mejato Island, Kwajalein Atoll, Marshall Islands",UTC+12:00,
2001,EAP[1],,metropolitan area2,"Basel, Switzerland / Mulhouse, Alsace, France",UTC+01:00,Mar-Oct
2014,EBN,,Ebadon Airstrip,"Ebadon Island, Kwajalein Atoll, Marshall Islands",UTC+12:00,
2015,EBO,,Ebon Airport,"Ebon Atoll, Marshall Islands",UTC+12:00,
2019,ECA,,Iosco County Airport (FAA: 6D9),"East Tawas, Michigan, United States",UTC−05:00,Mar-Nov
2024,ECO,,El Encanto Airport,"El Encanto, Colombia",UTC−05:00,
2028,EDA,,Edna Bay Seaplane Base[1],"Edna Bay, Alaska, United States",UTC−09:00,Mar-Nov
2030,EDD,,Erldunda Airport,"Erldunda, Northern Territory, Australia",UTC+09:30,
2038,EDQ,,Erandique Airport,"Erandique, Honduras",UTC−06:00,
